RowNr,RD,RA,CD,CA,AL,FNR,SNR,DEP,ARR,STD,DDC,STA,ADC,Mo,Tu,We,Th,Fr,Sa,So,ACtype,ACtypefullname,AG,AGfullname,Start_Op,End_Op
23,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,4,,,,319,AirbusA319,O,Others,15OCT20,15OCT20
24,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,2,,,,,,CR9,CanadairRegionalJet900,O,Others,20OCT20,20OCT20
25,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,,5,,,319,AirbusA319,O,Others,16OCT20,16OCT20
26,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,3,,,,,E90,EmbraerERJ190,O,Others,14OCT20,14OCT20
27,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,4,,,,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,22OCT20,22OCT20
28,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,,5,,,32V,AirbusA320div.Typ.,W,PAXULD,23OCT20,23OCT20
29,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,2,,,,,,CR9,CanadairRegionalJet900,O,Others,27OCT20,27OCT20
30,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,3,,,,,E90,EmbraerERJ190,O,Others,28OCT20,28OCT20
31,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,4,,,,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,29OCT20,29OCT20
32,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,,5,,,319,AirbusA319,O,Others,30OCT20,30OCT20
33,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,,,,7,E90,EmbraerERJ190,O,Others,18OCT20,18OCT20
34,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,1,,,,,,,319,AirbusA319,O,Others,19OCT20,19OCT20
35,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,3,,,,,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,21OCT20,21OCT20
36,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,1,,,,,,,319,AirbusA319,O,Others,26OCT20,26OCT20
47,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,,5,,,319,AirbusA319,O,Others,06NOV20,06NOV20
48,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,2,,,,,,319,AirbusA319,O,Others,03NOV20,03NOV20
49,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,3,,,,,319,AirbusA319,O,Others,04NOV20,04NOV20
50,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,4,,,,319,AirbusA319,O,Others,12NOV20,12NOV20
51,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,,4,,,,319,AirbusA319,O,Others,05NOV20,05NOV20
55,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,1,,,,,,,319,AirbusA319,O,Others,02NOV20,09NOV20
56,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,2,,,,,,319,AirbusA319,O,Others,10NOV20,10NOV20
57,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,,3,,,,,319,AirbusA319,O,Others,11NOV20,11NOV20
58,EU,EU,DE,DE,LH,LH004,0,FRA,HAM,0730,0,0835,0,,2,,,,,,CR9,CanadairRegionalJet900,O,Others,13OCT20,13OCT20
63,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,,,,,,7,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,18OCT20,18OCT20
64,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,,,,5,,,32V,AirbusA320div.Typ.,W,PAXULD,16OCT20,16OCT20
65,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,2,,,,,,319,AirbusA319,O,Others,20OCT20,20OCT20
66,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,1,,,,,,,319,AirbusA319,O,Others,19OCT20,19OCT20
67,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,,,,,6,,319,AirbusA319,O,Others,17OCT20,17OCT20
68,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,2,,,,,,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,13OCT20,13OCT20
69,EU,EU,DE,DE,LH,LH005,0,HAM,FRA,0700,0,0810,0,,,3,,,,,32N,AirbusA320NEOdiv.Typ.,W,PAXULD,14OCT20,14OCT20
